Date,JUN_RD_NO_TP,JUN_RD_NO_forecaset
2023-06-01,284226,284006.6524726814
2023-06-01,286280,283978.4710764442
2023-06-01,284189,284014.2575325452
2023-06-01,285530,283986.076136308
2023-06-01,285538,284021.86259240896
2023-06-01,284136,283993.68119617173
2023-06-01,284463,284029.4676522727
2023-06-01,284465,284001.2862560355
2023-06-01,286266,284037.0727121365
2023-06-01,284429,284008.89131589927
2023-06-01,284454,284044.67777200026
2023-06-01,284415,284016.49637576303
2023-06-01,284441,284052.282831864
2023-06-01,283312,284024.1014356268
2023-06-01,283720,284059.8878917278
2023-06-01,283311,284031.70649549057
2023-06-01,283914,284067.4929515916
2023-06-01,283884,284039.31155535433
2023-06-01,283880,284075.0980114553
2023-06-01,283851,284046.9166152181
2023-06-01,285548,284082.7030713191
2023-06-01,283854,284054.52167508187
2023-06-01,283968,284090.30813118286
2023-06-01,283866,284062.12673494563
2023-06-01,283878,284097.9131910466
2023-06-01,283890,284069.7317948094
2023-06-01,283923,284105.5182509104
2023-06-01,283925,284077.3368546732
2023-06-01,284146,284113.12331077416
2023-06-01,283819,284084.94191453693
2023-06-01,283835,284120.7283706379
2023-06-01,283975,284092.5469744007
2023-06-01,284381,284128.3334305017
2023-06-01,285593,284100.15203426447
2023-06-01,284890,284135.93849036546
2023-06-01,283994,284107.75709412823
2023-06-01,283898,284143.5435502292
2023-06-01,283830,284115.362153992
2023-06-01,283862,284151.148610093
2023-06-01,283893,284122.96721385577
2023-06-01,283844,284158.7536699568
2023-06-01,283817,284130.57227371953
2023-06-01,283888,284166.3587298205
2023-06-01,284030,284138.1773335833
2023-06-01,283961,284173.9637896843
2023-06-01,284210,284145.78239344707
2023-06-01,284968,284181.56884954806
2023-06-01,289258,284153.38745331083
2023-06-01,284078,284189.1739094118
2023-06-01,283974,284160.9925131746
2023-06-01,296049,284196.7789692756
2023-06-01,283934,284168.5975730384
2023-06-01,284076,284204.38402913936
2023-06-01,284026,284176.20263290213
2023-06-01,284048,284211.9890890031
2023-06-01,289039,284183.8076927659
2023-06-01,284099,284219.5941488669
2023-06-01,283997,284191.41275262967
2023-06-01,283949,284227.19920873066
2023-06-01,284933,284199.01781249343
2023-06-01,289915,284234.8042685944
2023-06-01,284020,284206.6228723572
2023-06-01,283926,284242.4093284582
2023-06-01,283310,284214.22793222097
2023-06-01,284074,284250.014388322
2023-06-01,283959,284221.83299208473
2023-06-01,283962,284257.6194481857
2023-06-01,283966,284229.4380519485
2023-06-01,284107,284265.2245080495
2023-06-01,284119,284237.04311181227
2023-06-01,283811,284272.82956791326
2023-06-01,283824,284244.64817167603
2023-06-01,283744,284280.434627777
2023-06-01,287639,284252.2532315398
2023-06-01,284788,284288.0396876408
2023-06-01,283904,284259.8582914036
2023-06-01,284008,284295.64474750456
2023-06-01,288824,284267.46335126733
2023-06-01,283754,284303.2498073683
2023-06-01,285009,284275.0684111311
2023-06-01,283713,284310.8548672321
2023-06-01,285138,284282.67347099487
2023-06-01,283808,284318.45992709586
2023-06-01,283748,284290.27853085863
2023-06-01,283716,284326.0649869596
2023-06-01,283906,284297.8835907224
2023-06-01,283711,284333.6700468234
2023-06-01,283732,284305.48865058617
2023-06-01,283831,284341.2751066872
2023-06-01,285297,284313.09371044993
2023-06-01,285071,284348.8801665509
2023-06-01,283667,284320.6987703137
2023-06-01,283675,284356.4852264147
2023-06-01,283724,284328.30383017746
2023-06-01,284105,284364.09028627846
2023-06-01,283658,284335.90889004123
2023-06-01,283863,284371.6953461422
2023-06-01,283877,284343.513949905
2023-06-01,283940,284379.300406006
2023-06-01,284770,284351.1190097688
2023-06-01,284816,284386.90546586976
2023-06-01,284967,284358.72406963253
2023-06-01,284003,284394.5105257335
2023-06-01,283833,284366.3291294963
2023-06-01,283945,284402.1155855973
2023-06-01,283840,284373.93418936006
2023-06-01,283816,284409.72064546106
2023-06-01,283881,284381.53924922383
2023-06-01,283812,284417.3257053248
2023-06-01,283802,284389.1443090876
2023-06-01,293044,284424.9307651886
2023-06-01,283777,284396.74936895136
2023-06-01,285114,284432.5358250524
2023-06-01,283865,284404.35442881513
2023-06-01,285851,284440.1408849161
2023-06-01,284242,284411.9594886789
2023-06-01,284086,284447.7459447799
2023-06-01,284181,284419.56454854266
2023-06-01,283782,284455.35100464366
2023-06-01,283772,284427.16960840643
2023-06-01,284027,284462.9560645074
2023-06-01,283756,284434.7746682702
2023-06-01,283703,284470.5611243712
2023-06-01,287824,284442.379728134
2023-06-01,283921,284478.16618423496
2023-06-01,284121,284449.98478799773
2023-06-01,283918,284485.7712440987
2023-06-01,284842,284457.5898478615
2023-06-01,283513,284493.3763039625
2023-06-01,283557,284465.19490772526
2023-06-01,284034,284500.98136382626
2023-06-01,283514,284472.79996758903
2023-06-01,283598,284508.58642369
2023-06-01,283448,284480.4050274528
2023-06-01,283482,284516.1914835538
2023-06-01,284601,284488.01008731656
2023-06-01,287995,284523.7965434176
2023-06-01,283504,284495.61514718033
2023-06-01,283457,284531.4016032813
2023-06-01,283517,284503.2202070441
2023-06-01,283488,284539.0066631451
2023-06-01,283508,284510.82526690786
2023-06-01,283434,284546.61172300886
2023-06-01,283463,284518.43032677163
2023-06-01,283678,284554.2167828726
2023-06-01,283518,284526.0353866354
2023-06-01,283416,284561.8218427364
2023-06-01,283357,284533.6404464992
2023-06-01,283883,284569.42690260016
2023-06-01,283370,284541.24550636293
2023-06-01,283561,284577.0319624639
2023-06-01,283575,284548.8505662267
2023-06-01,283640,284584.6370223277
2023-06-01,283642,284556.45562609046
2023-06-01,283602,284592.24208219146
2023-06-01,300544,284564.06068595423
2023-06-01,283643,284599.8471420552
2023-06-01,283568,284571.665745818
2023-06-01,283737,284607.452201919
2023-06-01,283576,284579.27080568176
2023-06-01,283618,284615.0572617828
2023-06-01,283542,284586.87586554553
2023-06-01,283547,284622.6623216465
2023-06-01,283783,284594.4809254093
2023-06-01,283574,284630.2673815103
2023-06-01,283828,284602.08598527306
2023-06-01,283569,284637.87244137406
2023-06-01,283570,284609.69104513683
2023-06-01,283566,284645.4775012378
2023-06-01,284104,284617.2961050006
2023-06-01,283528,284653.0825611016
2023-06-01,283520,284624.9011648644
2023-06-01,283556,284660.68762096536
2023-06-01,283733,284632.50622472813
2023-06-01,283469,284668.2926808291
2023-06-01,283367,284640.1112845919
2023-06-01,283317,284675.8977406929
2023-06-01,283359,284647.71634445566
2023-06-01,283372,284683.50280055666
2023-06-01,283397,284655.32140431943
2023-06-01,283297,284691.1078604204
2023-06-01,283306,284662.9264641832
2023-06-01,283738,284698.7129202842
2023-06-01,295803,284670.53152404696
2023-06-01,285520,284706.317980148
2023-06-01,283943,284678.13658391073
2023-06-01,283610,284713.9230400117
2023-06-01,284158,284685.7416437745
2023-06-01,283736,284721.5280998755
2023-06-01,283767,284693.34670363826
2023-06-01,283689,284729.13315973926
2023-06-01,283683,284700.95176350203
2023-06-01,283660,284736.738219603
2023-06-01,283836,284708.5568233658
2023-06-01,283605,284744.3432794668
2023-06-01,284007,284716.1618832296
2023-06-01,283670,284751.94833933056
2023-06-01,283661,284723.76694309333
2023-06-01,283879,284759.5533991943
2023-06-01,283988,284731.3720029571
2023-06-01,283996,284767.1584590581
2023-06-01,283954,284738.97706282086
2023-06-01,284151,284774.76351892186
2023-06-01,283353,284746.58212268463
2023-06-01,283586,284782.3685787856
2023-06-01,285553,284754.1871825484
2023-06-01,283820,284789.9736386494
2023-06-01,283328,284761.79224241216
2023-06-01,283338,284797.5786985132
2023-06-01,283324,284769.39730227593
2023-06-01,283354,284805.1837583769
2023-06-01,283327,284777.0023621397
2023-06-01,283417,284812.7888182407
2023-06-01,283381,284784.60742200346
2023-06-01,283439,284820.39387810446
2023-06-01,293081,284792.21248186723
2023-06-01,283342,284827.9989379682
2023-06-01,283394,284799.817541731
2023-06-01,283426,284835.603997832
2023-06-01,283351,284807.4226015948
2023-06-01,283362,284843.20905769576
2023-06-01,283392,284815.02766145853
2023-06-02,285463,284850.8141175595
2023-06-02,285412,284822.6327213223
2023-06-02,285418,284858.4191774233
2023-06-02,288127,284830.23778118606
2023-06-02,285384,284866.02423728706
2023-06-02,285420,284837.84284104983
2023-06-02,303794,284873.6292971508
2023-06-02,285521,284845.4479009136
2023-06-02,285390,284881.2343570146
2023-06-02,285485,284853.05296077736
2023-06-02,285413,284888.8394168784
2023-06-02,285488,284860.6580206412
2023-06-02,285753,284896.4444767421
2023-06-02,285444,284868.2630805049
2023-06-02,285437,284904.0495366059
2023-06-02,285686,284875.86814036866
2023-06-02,285421,284911.65459646966
2023-06-02,286630,284883.47320023243
2023-06-02,290145,284919.2596563334
2023-06-02,285406,284891.0782600962
2023-06-02,287479,284926.8647161972
2023-06-02,287596,284898.68331996
2023-06-02,285500,284934.46977606096
2023-06-02,285405,284906.28837982373
2023-06-02,285529,284942.0748359247
2023-06-02,285433,284913.8934396875
2023-06-02,285457,284949.6798957885
2023-06-02,285545,284921.49849955126
2023-06-02,285475,284957.28495565226
2023-06-02,285464,284929.10355941503
2023-06-02,285481,284964.890015516
2023-06-02,286342,284936.7086192788
2023-06-02,285603,284972.4950753798
2023-06-02,285494,284944.31367914256
2023-06-02,285431,284980.1001352436
2023-06-02,285424,284951.9187390064
2023-06-02,285349,284987.7051951073
2023-06-02,285382,284959.5237988701
2023-06-02,285361,284995.3102549711
2023-06-02,285411,284967.12885873386
2023-06-02,285605,285002.91531483486
2023-06-02,285353,284974.73391859763
2023-06-02,285313,285010.5203746986
2023-06-02,285301,284982.3389784614
2023-06-02,285401,285018.1254345624
2023-06-02,285346,284989.9440383252
2023-06-02,285610,285025.73049442616
2023-06-02,286678,284997.54909818893
2023-06-02,285275,285033.3355542899
2023-06-02,297911,285005.1541580527
2023-06-02,285447,285040.9406141537
2023-06-02,285472,285012.75921791646
2023-06-02,287558,285048.54567401746
2023-06-02,285395,285020.36427778023
2023-06-02,285667,285056.1507338812
2023-06-02,285371,285027.969337644
2023-06-02,285654,285063.755793745
2023-06-02,285419,285035.57439750776
2023-06-02,288804,285071.3608536088
2023-06-02,285462,285043.1794573716
2023-06-02,285539,285078.9659134725
2023-06-02,285392,285050.7845172353
2023-06-02,285334,285086.5709733363
2023-06-02,285343,285058.38957709906
2023-06-02,285321,285094.17603320006
2023-06-02,285317,285065.99463696283
2023-06-02,285369,285101.7810930638
2023-06-02,285556,285073.5996968266
2023-06-02,285386,285109.3861529276
2023-06-02,285652,285081.2047566904
2023-06-02,286154,285116.99121279136
2023-06-02,287638,285088.80981655413
2023-06-02,285324,285124.5962726551
2023-06-02,285526,285096.4148764179
2023-06-02,287588,285132.2013325189
2023-06-02,285512,285104.01993628166
2023-06-02,286880,285139.80639238266
2023-06-02,285826,285111.62499614543
2023-06-02,286332,285147.4114522464
2023-06-02,285790,285119.2300560092
2023-06-02,286600,285155.0165121102
2023-06-02,285782,285126.83511587296
2023-06-02,285775,285162.621571974
2023-06-02,285773,285134.4401757368
2023-06-02,285841,285170.2266318377
2023-06-02,285781,285142.0452356005
2023-06-02,286791,285177.8316917015
2023-06-02,285758,285149.65029546426
2023-06-02,285812,285185.43675156526
2023-06-02,286950,285157.25535532803
2023-06-02,285726,285193.041811429
2023-06-02,289528,285164.8604151918
2023-06-02,285683,285200.6468712928
2023-06-02,285766,285172.4654750556
2023-06-02,285693,285208.25193115656
2023-06-02,286556,285180.07053491933
2023-06-02,285687,285215.8569910203
2023-06-02,285806,285187.6755947831
2023-06-02,285755,285223.4620508841
2023-06-02,286261,285195.28065464686
2023-06-02,285796,285231.06711074786
2023-06-02,290951,285202.88571451063
2023-06-02,286849,285238.6721706116
2023-06-02,285865,285210.4907743744
2023-06-02,285872,285246.2772304754
2023-06-02,285886,285218.09583423816
2023-06-02,285877,285253.8822903392
2023-06-02,285879,285225.700894102
2023-06-02,288163,285261.4873502029
2023-06-02,285853,285233.3059539657
2023-06-02,285862,285269.0924100667
2023-06-02,285857,285240.91101382946
2023-06-02,285801,285276.69746993046
2023-06-02,285883,285248.51607369323
2023-06-02,285876,285284.3025297942
2023-06-02,285824,285256.121133557
2023-06-02,195428,285291.907589658
2023-06-02,287533,285263.7261934208
2023-06-02,285878,285299.51264952176
2023-06-02,285830,285271.33125328453
2023-06-02,286591,285307.1177093855
2023-06-02,288479,285278.9363131483
2023-06-02,285891,285314.7227692493
2023-06-02,285813,285286.54137301206
2023-06-02,285845,285322.32782911306
2023-06-02,286609,285294.14643287583
2023-06-02,285729,285329.9328889768
2023-06-02,285700,285301.7514927396
2023-06-02,286299,285337.5379488406
2023-06-02,285740,285309.35655260336
2023-06-02,285642,285345.1430087044
2023-06-02,291788,285316.9616124672
2023-06-02,285614,285352.7480685681
2023-06-02,285579,285324.5666723309
2023-06-02,285562,285360.3531284319
2023-06-02,285567,285332.17173219466
2023-06-02,285560,285367.95818829566
2023-06-02,289070,285339.77679205843
2023-06-02,285735,285375.5632481594
2023-06-02,286724,285347.3818519222
2023-06-02,285528,285383.1683080232
2023-06-02,285607,285354.986911786
2023-06-02,290375,285390.77336788696
2023-06-02,285661,285362.59197164973
2023-06-02,285554,285398.3784277507
2023-06-02,285591,285370.1970315135
2023-06-02,289038,285405.9834876145
2023-06-02,285561,285377.80209137726
2023-06-02,285542,285413.58854747826
2023-06-02,314558,285385.40715124103
2023-06-02,285748,285421.193607342
2023-06-02,285508,285393.0122111048
2023-06-02,285600,285428.7986672058
2023-06-02,285664,285400.61727096856
2023-06-02,285696,285436.4037270696
2023-06-02,286577,285408.2223308324
2023-06-02,285703,285444.0087869333
2023-06-02,258666,285415.8273906961
2023-06-02,285712,285451.6138467971
2023-06-02,285622,285423.43245055986
2023-06-02,285656,285459.21890666086
2023-06-02,285630,285431.03751042363
2023-06-02,285619,285466.8239665246
2023-06-02,285695,285438.6425702874
2023-06-02,285639,285474.4290263884
2023-06-02,285660,285446.2476301512
2023-06-02,285657,285482.03408625216
2023-06-02,285608,285453.85269001493
2023-06-02,285706,285489.6391461159
2023-06-02,285584,285461.4577498787
2023-06-02,285632,285497.2442059797
2023-06-02,285697,285469.06280974246
2023-06-02,285531,285504.84926584346
2023-06-02,291950,285476.66786960623
2023-06-02,285647,285512.4543257072
2023-06-02,285655,285484.27292947
2023-06-02,285616,285520.059385571
2023-06-02,285486,285491.87798933376
2023-06-02,285284,285527.6644454348
2023-06-02,285304,285499.4830491976
2023-06-02,285316,285535.2695052985
2023-06-02,284961,285507.0881090613
2023-06-02,285046,285542.8745651623
2023-06-02,285003,285514.69316892506
2023-06-02,284996,285550.47962502606
2023-06-02,286118,285522.29822878883
2023-06-02,285054,285558.0846848898
2023-06-02,285060,285529.9032886526
2023-06-02,301187,285565.6897447536
2023-06-02,285048,285537.5083485164
2023-06-02,285011,285573.29480461736
2023-06-02,285146,285545.11340838013
2023-06-02,285062,285580.8998644811
2023-06-02,285230,285552.7184682439
2023-06-02,285080,285588.5049243449
2023-06-02,285029,285560.32352810766
2023-06-02,285016,285596.10998420866
2023-06-02,285167,285567.92858797143
2023-06-02,285165,285603.7150440724
2023-06-02,285061,285575.5336478352
2023-06-02,285053,285611.3201039362
2023-06-02,285064,285583.13870769896
2023-06-02,285074,285618.9251638
2023-06-02,285110,285590.7437675628
2023-06-02,290096,285626.5302236637
2023-06-02,284647,285598.3488274265
2023-06-02,286888,285634.1352835275
2023-06-02,284936,285605.95388729026
2023-06-02,285098,285641.74034339126
2023-06-02,285111,285613.55894715403
2023-06-02,285094,285649.345403255
2023-06-02,284881,285621.1640070178
2023-06-02,285157,285656.9504631188
2023-06-02,284884,285628.7690668816
2023-06-02,285283,285664.5555229825
2023-06-02,284869,285636.37412674533
2023-06-02,290134,285672.1605828463
2023-06-02,284934,285643.9791866091
2023-06-02,284896,285679.7656427101
2023-06-02,286191,285651.58424647286
2023-06-02,284889,285687.37070257385
2023-06-02,284902,285659.18930633663
2023-06-02,285004,285694.9757624376
2023-06-02,284909,285666.7943662004
2023-06-02,285085,285702.5808223014
2023-06-02,284931,285674.39942606416
2023-06-02,285668,285710.18588216515
2023-06-02,286140,285682.004485928
2023-06-02,284941,285717.7909420289
2023-06-02,284943,285689.6095457917
2023-06-02,285001,285725.3960018927
2023-06-02,284962,285697.21460565546
2023-06-02,295375,285733.00106175645
2023-06-02,284952,285704.81966551923
2023-06-02,285325,285740.6061216202
2023-06-02,285120,285712.424725383
2023-06-02,285615,285748.211181484
2023-06-02,285153,285720.0297852468
2023-06-02,285239,285755.8162413477
2023-06-02,285235,285727.63484511053
2023-06-02,285214,285763.4213012115
2023-06-02,285196,285735.2399049743
2023-06-02,286798,285771.0263610753
2023-06-02,285255,285742.84496483806
2023-06-02,285257,285778.63142093905
2023-06-02,285180,285750.45002470183
2023-06-02,285644,285786.2364808028
2023-06-02,290954,285758.0550845656
2023-06-02,285270,285793.8415406666
2023-06-02,285291,285765.66014442936
2023-06-02,285191,285801.44660053035
2023-06-02,285366,285773.2652042932
2023-06-02,285181,285809.0516603941
2023-06-02,285256,285780.8702641569
2023-06-02,285345,285816.6567202579
2023-06-02,285848,285788.47532402066
2023-06-02,285200,285824.26178012165
2023-06-02,285226,285796.08038388443
2023-06-02,285448,285831.8668399854
2023-06-02,285550,285803.6854437482
2023-06-02,285179,285839.4718998492
2023-06-02,289579,285811.290503612
2023-06-02,285175,285847.0769597129
2023-06-02,285117,285818.89556347573
2023-06-02,285130,285854.6820195767
2023-06-02,285174,285826.5006233395
2023-06-02,285195,285862.2870794405
2023-06-02,285092,285834.10568320326
2023-06-02,285125,285869.89213930425
2023-06-02,285101,285841.71074306703
2023-06-02,285139,285877.497199168
2023-06-02,285089,285849.3158029308
2023-06-02,285099,285885.1022590318
2023-06-02,285103,285856.92086279456
2023-06-02,285100,285892.70731889555
2023-06-02,285118,285864.5259226584
2023-06-02,285574,285900.3123787593
2023-06-02,285154,285872.1309825221
2023-06-02,285152,285907.9174386231
2023-06-02,285176,285879.73604238586
2023-06-02,300734,285915.52249848685
2023-06-02,285497,285887.34110224963
2023-06-02,294224,285923.1275583506
2023-06-02,285427,285894.9461621134
2023-06-02,285166,285930.7326182144
2023-06-02,285225,285902.5512219772
2023-06-02,285168,285938.3376780781
2023-06-02,285240,285910.15628184093
2023-06-02,286145,285945.9427379419
2023-06-02,285274,285917.7613417047
2023-06-02,284827,285953.5477978057
2023-06-02,284813,285925.36640156846
2023-06-02,284932,285961.15285766945
2023-06-02,284859,285932.97146143223
2023-06-02,285676,285968.7579175332
2023-06-02,313520,285940.576521296
2023-06-02,284670,285976.362977397
2023-06-02,284566,285948.18158115976
2023-06-02,284574,285983.96803726075
2023-06-02,284584,285955.7866410236
2023-06-02,284577,285991.5730971245
2023-06-02,284820,285963.3917008873
2023-06-02,284583,285999.1781569883
2023-06-02,284484,285970.99676075106
2023-06-02,284594,286006.78321685205
2023-06-02,284620,285978.60182061483
2023-06-02,286807,286014.3882767158
2023-06-02,286158,285986.2068804786
2023-06-02,286689,286021.9933365796
2023-06-02,284654,285993.8119403424
2023-06-02,284644,286029.5983964433
2023-06-02,284976,286001.41700020613
2023-06-02,286386,286037.2034563071
2023-06-02,285350,286009.0220600699
2023-06-02,284605,286044.8085161709
2023-06-02,284478,286016.62711993366
2023-06-02,285250,286052.41357603465
2023-06-02,285252,286024.23217979743
2023-06-02,285269,286060.0186358984
2023-06-02,285261,286031.8372396612
2023-06-02,285572,286067.6236957622
2023-06-02,285303,286039.44229952496
2023-06-02,285376,286075.22875562595
2023-06-02,285328,286047.0473593887
2023-06-02,285322,286082.8338154897
2023-06-02,285307,286054.6524192525
2023-06-02,285290,286090.4388753535
2023-06-02,289340,286062.25747911626
2023-06-02,285375,286098.04393521725
2023-06-02,285295,286069.86253898
2023-06-02,285276,286105.648995081
2023-06-02,285491,286077.4675988438
2023-06-02,285213,286113.2540549448
2023-06-02,285228,286085.0726587076
2023-06-02,286295,286120.8591148085
2023-06-02,285227,286092.6777185713
2023-06-02,286297,286128.4641746723
2023-06-02,285649,286100.2827784351
2023-06-02,285374,286136.0692345361
2023-06-02,285145,286107.88783829886
2023-06-02,284656,286143.67429439985
2023-06-02,284579,286115.4928981626
2023-06-02,284767,286151.2793542636
2023-06-02,284736,286123.0979580264
2023-06-02,285566,286158.8844141274
2023-06-02,284732,286130.70301789016
2023-06-02,284758,286166.48947399115
2023-06-02,284751,286138.3080777539
2023-06-02,286485,286174.0945338549
2023-06-02,288971,286145.9131376177
2023-06-02,284745,286181.6995937187
2023-06-02,284811,286153.51819748146
2023-06-02,284784,286189.30465358245
2023-06-02,285249,286161.1232573452
2023-06-02,284808,286196.9097134462
2023-06-02,284875,286168.728317209
2023-06-02,284829,286204.51477331
2023-06-02,284886,286176.3333770728
2023-06-02,300735,286212.1198331737
2023-06-02,284818,286183.9384369365
2023-06-02,284861,286219.7248930375
2023-06-02,284822,286191.5434968003
2023-06-02,284802,286227.3299529013
2023-06-02,284858,286199.14855666406
2023-06-02,284754,286234.93501276505
2023-06-02,284730,286206.7536165278
2023-06-02,284825,286242.5400726288
2023-06-02,284693,286214.3586763916
2023-06-02,284708,286250.1451324926
2023-06-02,284701,286221.96373625536
2023-06-02,284684,286257.75019235635
2023-06-02,284712,286229.5687961191
2023-06-02,284747,286265.3552522201
2023-06-02,285199,286237.1738559829
2023-06-02,284763,286272.9603120839
2023-06-02,284702,286244.77891584666
2023-06-02,284673,286280.56537194765
2023-06-02,284697,286252.3839757104
2023-06-02,285733,286288.1704318114
2023-06-02,284677,286259.9890355742
2023-06-02,284729,286295.7754916752
2023-06-02,284894,286267.594095438
2023-06-02,291644,286303.3805515389
2023-06-02,284838,286275.1991553017
2023-06-02,284759,286310.9856114027
2023-06-02,284507,286282.8042151655
2023-06-02,284796,286318.5906712665
2023-06-02,284719,286290.40927502926
2023-06-02,284750,286326.19573113025
2023-06-02,285056,286298.014334893
2023-06-02,284710,286333.800790994
2023-06-03,286180,286305.6193947568
2023-06-03,285893,286341.4058508578
2023-06-03,285937,286313.22445462056
2023-06-03,285907,286349.01091072155
2023-06-03,290245,286320.8295144843
2023-06-03,285927,286356.6159705853
2023-06-03,285931,286328.4345743481
2023-06-03,286310,286364.2210304491
2023-06-03,285920,286336.03963421186
2023-06-03,285929,286371.82609031285
2023-06-03,285928,286343.6446940756
2023-06-03,285923,286379.4311501766
2023-06-03,285925,286351.2497539394
2023-06-03,286475,286387.0362100404
2023-06-03,285996,286358.8548138032
